#
#       Peak Name  Overlap_group
#     M72CE-M72QE             -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000    16.524     1.436
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.6557698e+01  1.0223293e-04 
# w1(Hz)        2.7826092e+01  4.4374163e-02 
# g1            8.8867517e-01  7.4250066e-03 
# f02(ppm)      1.4301913e+00  2.1543089e-05 
# w2(Hz)        2.2061509e+01  4.1554468e-02 
# g2            4.8149515e-01  5.7174375e-03 
############################################
#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    2.3565102e+04  8.6396796e+01
   1.000e+00    1.2331514e+04  6.6431823e+01
   6.000e+01    1.4218570e+04  6.9226337e+01
   2.000e+00    1.2834412e+04  6.7148711e+01
   5.000e+01    1.4185691e+04  6.9175280e+01
   3.000e+00    1.3191280e+04  6.7669979e+01
   4.000e+01    1.4134228e+04  6.9095524e+01
   4.000e+00    1.3399142e+04  6.7978290e+01
   3.400e+01    1.4088396e+04  6.9024662e+01
   6.000e+00    1.3616307e+04  6.8304024e+01
   3.000e+01    1.4088986e+04  6.9025574e+01
   8.000e+00    1.3741417e+04  6.8493344e+01
   2.600e+01    1.4048449e+04  6.8963028e+01
   1.000e+01    1.3834245e+04  6.8634591e+01
   2.200e+01    1.4063319e+04  6.8985957e+01
   1.800e+01    1.4029636e+04  6.8934044e+01
   1.400e+01    1.3903954e+04  6.8741093e+01
   4.000e+01    1.4154154e+04  6.9126380e+01
   2.000e+00    1.2822262e+04  6.7131145e+01
