#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    4.1620183e+04  7.3554754e+02
   3.000e+01    3.3782518e+04  6.6635915e+02
   1.000e+00    2.2796227e+04  5.9141219e+02
   2.700e+01    3.3559371e+04  6.6460922e+02
   2.000e+00    2.5657637e+04  6.0914714e+02
   2.400e+01    3.4241426e+04  6.6974071e+02
   3.000e+00    2.8431950e+04  6.2745670e+02
   2.100e+01    3.4136246e+04  6.6937019e+02
   4.000e+00    3.0225306e+04  6.4027196e+02
   1.800e+01    3.4465708e+04  6.7160041e+02
   5.000e+00    3.1350299e+04  6.4828033e+02
   1.500e+01    3.3575536e+04  6.6472106e+02
   6.000e+00    3.1602058e+04  6.5004086e+02
   1.200e+01    3.4378204e+04  6.7111060e+02
   7.000e+00    3.2699407e+04  6.5823304e+02
   1.000e+01    3.3038996e+04  6.6052420e+02
   8.000e+00    3.3301208e+04  6.6294727e+02
   4.000e+00    3.0209010e+04  6.4044263e+02
   1.000e+00    2.3454544e+04  5.9545175e+02
   2.700e+01    3.3845259e+04  6.6679813e+02
