#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    6.0086112e+04  2.0091068e+02
   3.000e+01    5.2740090e+04  1.9113255e+02
   1.000e+00    4.8842759e+04  1.8562510e+02
   2.800e+01    5.2876347e+04  1.9125419e+02
   2.000e+00    5.0229150e+04  1.8743272e+02
   2.600e+01    5.2692691e+04  1.9108117e+02
   3.000e+00    5.0932967e+04  1.8845550e+02
   2.400e+01    5.2453586e+04  1.9081746e+02
   4.000e+00    5.1632883e+04  1.8942802e+02
   2.200e+01    5.2978176e+04  1.9140465e+02
   5.000e+00    5.2002450e+04  1.8997048e+02
   2.000e+01    5.2450961e+04  1.9080690e+02
   6.000e+00    5.2402319e+04  1.9055867e+02
   1.800e+01    5.2770690e+04  1.9122660e+02
   7.000e+00    5.2335196e+04  1.9049683e+02
   1.600e+01    5.2699317e+04  1.9107564e+02
   8.000e+00    5.2171628e+04  1.9034314e+02
   1.400e+01    5.2550545e+04  1.9087926e+02
   9.000e+00    5.2684406e+04  1.9097301e+02
   1.300e+01    5.2745207e+04  1.9109351e+02
   1.000e+01    5.2437089e+04  1.9067020e+02
   1.200e+01    5.2624431e+04  1.9094641e+02
   1.100e+01    5.2505538e+04  1.9079031e+02
   2.000e+00    5.0329313e+04  1.8755241e+02
   2.800e+01    5.2489756e+04  1.9085431e+02
   8.000e+00    5.2350318e+04  1.9051235e+02
