#
#       Peak Name  Conv_flg Overlap_flg
#          10N-HN         1           1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   121.200     8.199
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.2120083e+02  1.5094512e-04
# w1(Hz)        1.8310697e+01  4.1183710e-02
# g1            4.0285505e-01  6.6147848e-03
# f02(ppm)      8.1982759e+00  1.5656553e-05
# w2(Hz)        1.8167887e+01  4.4681552e-02
# g2            2.3423173e-01  5.5437348e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    6.5403349e+04  3.0548984e+02
   3.000e+01    5.6125365e+04  2.9236821e+02
   1.000e+00    4.7081771e+04  2.8103943e+02
   2.700e+01    5.6459111e+04  2.9281439e+02
   2.000e+00    5.0182169e+04  2.8474737e+02
   2.400e+01    5.6552611e+04  2.9294011e+02
   3.000e+00    5.2302849e+04  2.8739050e+02
   2.100e+01    5.6319331e+04  2.9262725e+02
   4.000e+00    5.3183762e+04  2.8851342e+02
   1.800e+01    5.6042760e+04  2.9225672e+02
   5.000e+00    5.4434908e+04  2.9013266e+02
   1.500e+01    5.6222857e+04  2.9249764e+02
   6.000e+00    5.5521965e+04  2.9156298e+02
   1.200e+01    5.5955778e+04  2.9214087e+02
   7.000e+00    5.5788263e+04  2.9191701e+02
   1.000e+01    5.6010705e+04  2.9221386e+02
   8.000e+00    5.5545441e+04  2.9159502e+02
   4.000e+00    5.3321702e+04  2.8869072e+02
   1.000e+00    4.7089129e+04  2.8104820e+02
   2.700e+01    5.6321191e+04  2.9262962e+02
