#
#       Peak Name  Conv_flg Overlap_flg
#          12N-HN         1           2
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   123.992     7.557
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.2399177e+02  1.3569764e-04
# w1(Hz)        1.7581652e+01  3.4524552e-02
# g1            5.8436436e-01  7.0151943e-03
# f02(ppm)      7.5572134e+00  1.6388213e-05
# w2(Hz)        1.9864814e+01  4.6054830e-02
# g2            2.7044982e-01  5.6696894e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    8.4732118e+04  4.0643487e+02
   3.000e+01    7.3709692e+04  3.8755917e+02
   1.000e+00    7.0248062e+04  3.8117566e+02
   2.700e+01    7.3871978e+04  3.8764330e+02
   2.000e+00    7.1508690e+04  3.8313247e+02
   2.400e+01    7.3589323e+04  3.8715877e+02
   3.000e+00    7.2650754e+04  3.8479174e+02
   2.100e+01    7.4485078e+04  3.8836721e+02
   4.000e+00    7.3269185e+04  3.8571383e+02
   1.800e+01    7.4145406e+04  3.8766299e+02
   5.000e+00    7.3442604e+04  3.8595769e+02
   1.500e+01    7.4170526e+04  3.8737941e+02
   6.000e+00    7.3424032e+04  3.8600586e+02
   1.200e+01    7.3525462e+04  3.8623454e+02
   7.000e+00    7.3024948e+04  3.8524225e+02
   1.000e+01    7.4290562e+04  3.8727320e+02
   8.000e+00    7.3618914e+04  3.8618544e+02
   4.000e+00    7.3361634e+04  3.8593057e+02
   1.000e+00    7.0337307e+04  3.8138309e+02
   2.700e+01    7.3622537e+04  3.8731928e+02
