#
#       Peak Name  Conv_flg Overlap_flg
#           3N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   116.272     7.765
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1626654e+02  1.9883469e-04
# w1(Hz)        1.7892912e+01  4.9324979e-02
# g1            7.0427561e-01  1.1171410e-02
# f02(ppm)      7.7637170e+00  2.0062722e-05
# w2(Hz)        1.7216038e+01  5.1651424e-02
# g2            4.7212013e-01  8.8713857e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    6.8521192e+04  4.8081342e+02
   3.000e+01    5.8593771e+04  4.5643043e+02
   1.000e+00    5.7898056e+04  4.5481980e+02
   2.700e+01    5.8936645e+04  4.5722917e+02
   2.000e+00    5.7947579e+04  4.5493400e+02
   2.400e+01    5.9422405e+04  4.5836634e+02
   3.000e+00    5.8327401e+04  4.5581216e+02
   2.100e+01    5.8427749e+04  4.5604485e+02
   4.000e+00    5.7928896e+04  4.5489091e+02
   1.800e+01    5.8610602e+04  4.5646956e+02
   5.000e+00    5.8455329e+04  4.5610885e+02
   1.500e+01    5.8442141e+04  4.5607824e+02
   6.000e+00    5.8894481e+04  4.5713077e+02
   1.200e+01    5.8729029e+04  4.5674513e+02
   7.000e+00    5.8632319e+04  4.5652007e+02
   1.000e+01    5.8500341e+04  4.5621335e+02
   8.000e+00    5.8936093e+04  4.5722788e+02
   4.000e+00    5.8161217e+04  4.5542744e+02
   1.000e+00    5.7833585e+04  4.5467123e+02
   2.700e+01    5.8914149e+04  4.5717667e+02
