#
#       Peak Name  Conv_flg Overlap_flg
#          40N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   119.733     8.637
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1974192e+02  1.5009181e-04
# w1(Hz)        1.7530193e+01  3.5180635e-02
# g1            9.3058516e-01  1.0005767e-02
# f02(ppm)      8.6377950e+00  1.7261569e-05
# w2(Hz)        1.8399787e+01  4.6272393e-02
# g2            3.7425090e-01  6.7133782e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    4.5698019e+04  2.5546975e+02
   3.000e+01    3.8566874e+04  2.4055662e+02
   1.000e+00    3.8112521e+04  2.3966353e+02
   2.700e+01    3.8846073e+04  2.4110902e+02
   2.000e+00    3.8240308e+04  2.3991398e+02
   2.400e+01    3.8735135e+04  2.4088920e+02
   3.000e+00    3.7819601e+04  2.3909162e+02
   2.100e+01    3.8669200e+04  2.4075876e+02
   4.000e+00    3.7991857e+04  2.3942757e+02
   1.800e+01    3.8641748e+04  2.4070450e+02
   5.000e+00    3.7953521e+04  2.3935272e+02
   1.500e+01    3.8217427e+04  2.3986909e+02
   6.000e+00    3.8513661e+04  2.4045166e+02
   1.200e+01    3.8320477e+04  2.4007139e+02
   7.000e+00    3.8509429e+04  2.4044331e+02
   1.000e+01    3.8930453e+04  2.4127650e+02
   8.000e+00    3.8912607e+04  2.4124106e+02
   4.000e+00    3.8380782e+04  2.4018996e+02
   1.000e+00    3.7408882e+04  2.3829487e+02
   2.700e+01    3.8562594e+04  2.4054818e+02
