#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.1161285e+05  3.3273571e+02
   3.000e+01    1.0260166e+05  3.2361345e+02
   1.000e+00    1.0214465e+05  3.1970643e+02
   2.700e+01    1.0243305e+05  3.2351447e+02
   2.000e+00    1.0213764e+05  3.1976264e+02
   2.400e+01    1.0232070e+05  3.2347651e+02
   3.000e+00    1.0162139e+05  3.1983503e+02
   2.100e+01    1.0178353e+05  3.2284689e+02
   4.000e+00    1.0225180e+05  3.2101261e+02
   1.800e+01    1.0218543e+05  3.2312687e+02
   5.000e+00    1.0200430e+05  3.2125279e+02
   1.500e+01    1.0234408e+05  3.2331724e+02
   6.000e+00    1.0178188e+05  3.2142679e+02
   1.200e+01    1.0228983e+05  3.2301951e+02
   7.000e+00    1.0216915e+05  3.2232759e+02
   1.000e+01    1.0233695e+05  3.2283589e+02
   8.000e+00    1.0259638e+05  3.2264178e+02
   4.000e+00    1.0228504e+05  3.2090023e+02
   1.000e+00    1.0192538e+05  3.1954700e+02
   2.700e+01    1.0232299e+05  3.2332156e+02
