#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    4.0261728e+04  1.7273883e+02
   3.000e+01    3.0962864e+04  1.6093751e+02
   1.000e+00    3.0443101e+04  1.6034687e+02
   2.700e+01    3.0929662e+04  1.6089955e+02
   2.000e+00    3.0688501e+04  1.6062476e+02
   2.400e+01    3.0810852e+04  1.6076396e+02
   3.000e+00    3.0844244e+04  1.6080203e+02
   2.100e+01    3.0809524e+04  1.6076245e+02
   4.000e+00    3.0903023e+04  1.6086911e+02
   1.800e+01    3.0843252e+04  1.6080090e+02
   5.000e+00    3.0791787e+04  1.6074224e+02
   1.500e+01    3.0627569e+04  1.6055560e+02
   6.000e+00    3.1012276e+04  1.6099407e+02
   1.200e+01    3.0797613e+04  1.6074888e+02
   7.000e+00    3.0619165e+04  1.6054607e+02
   1.000e+01    3.1239819e+04  1.6125542e+02
   8.000e+00    3.0926104e+04  1.6089548e+02
   4.000e+00    3.0771811e+04  1.6071950e+02
   1.000e+00    3.0289473e+04  1.6017380e+02
   2.700e+01    3.0955761e+04  1.6092939e+02
