#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    3.0495484e+04  1.2608747e+02
   3.000e+01    2.7849417e+04  1.2265113e+02
   1.000e+00    2.7747694e+04  1.2252342e+02
   2.700e+01    2.7976789e+04  1.2281152e+02
   2.000e+00    2.7582964e+04  1.2231731e+02
   2.400e+01    2.7745478e+04  1.2252064e+02
   3.000e+00    2.7863461e+04  1.2266879e+02
   2.100e+01    2.7946113e+04  1.2277284e+02
   4.000e+00    2.7633182e+04  1.2238005e+02
   1.800e+01    2.8097432e+04  1.2296391e+02
   5.000e+00    2.7988671e+04  1.2282651e+02
   1.500e+01    2.7936508e+04  1.2276074e+02
   6.000e+00    2.7676841e+04  1.2243466e+02
   1.200e+01    2.8065884e+04  1.2292401e+02
   7.000e+00    2.7705329e+04  1.2247033e+02
   1.000e+01    2.7636688e+04  1.2238444e+02
   8.000e+00    2.7811333e+04  1.2260328e+02
   4.000e+00    2.7554738e+04  1.2228209e+02
   1.000e+00    2.7339353e+04  1.2201413e+02
   2.700e+01    2.7534073e+04  1.2225631e+02
