#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    5.1341902e+04  9.2989442e+02
   3.000e+01    3.4203820e+04  7.6996950e+02
   1.000e+00    1.6356160e+04  6.5205404e+02
   2.700e+01    3.2099609e+04  7.5301311e+02
   2.000e+00    1.8189143e+04  6.6108416e+02
   2.400e+01    3.1310376e+04  7.4682159e+02
   3.000e+00    1.7866289e+04  6.5946930e+02
   2.100e+01    2.9422222e+04  7.3248743e+02
   4.000e+00    1.7920953e+04  6.5976193e+02
   1.800e+01    2.6843151e+04  7.1386585e+02
   5.000e+00    1.7709302e+04  6.5869893e+02
   1.500e+01    2.2414264e+04  6.8489311e+02
   6.000e+00    1.8803182e+04  6.6433013e+02
   1.200e+01    1.9908519e+04  6.7030823e+02
   7.000e+00    1.6343968e+04  6.5206378e+02
   1.000e+01    1.8360381e+04  6.6203897e+02
   8.000e+00    1.7195930e+04  6.5615897e+02
   4.000e+00    1.9058599e+04  6.6568407e+02
   1.000e+00    1.7527473e+04  6.5771203e+02
   2.700e+01    3.2775160e+04  7.5837415e+02
