#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    9.3512603e+03  3.5094288e+02
   3.000e+01    6.8963835e+03  3.1372451e+02
   1.000e+00    5.8784057e+03  3.0050733e+02
   2.700e+01    6.9344162e+03  3.1424122e+02
   2.000e+00    6.6494514e+03  3.1028982e+02
   2.400e+01    6.7200915e+03  3.1134949e+02
   3.000e+00    6.9859559e+03  3.1484578e+02
   2.100e+01    7.0026707e+03  3.1517040e+02
   4.000e+00    6.7744548e+03  3.1201148e+02
   1.800e+01    7.1189650e+03  3.1677492e+02
   5.000e+00    7.2766268e+03  3.1892795e+02
   1.500e+01    6.9684902e+03  3.1469952e+02
   6.000e+00    6.8977091e+03  3.1370541e+02
   1.200e+01    7.0676906e+03  3.1605550e+02
   7.000e+00    7.0327484e+03  3.1555015e+02
   1.000e+01    7.3632945e+03  3.2018625e+02
   8.000e+00    6.9367237e+03  3.1424656e+02
   4.000e+00    7.1361858e+03  3.1694847e+02
   1.000e+00    6.2790948e+03  3.0545896e+02
   2.700e+01    7.0925879e+03  3.1641120e+02
